y/x |   1   |   2   |   3   |   4   |   5   |   6   |   7   |   8   |   9   |   10  |   11  |     12    |    13   |     14    |   15  |   16  |     17    |   18   |   19  |     20    |    21   |     22    |   23  |   24  |   25  |   26  |   27  |   28  |   29  |   30  |   31  |   32  |   33
----+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-----------+---------+-----------+-------+-------+-----------+--------+-------+-----------+---------+-----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+------
1   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
2   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
3   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
4   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
5   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
6   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
7   |       |       |       |       |       |       |       |       |       |       |       | text_baba | text_is | text_you  |       |       |           |       |       | text_flag | text_is | text_win  |       |       |       |       |       |       |       |       |       |       |
8   |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
9   |       |       |       |       |       |       |       |       |       |       |       | wall      | wall    | wall      | wall  | wall  | wall      | wall  | wall  | wall      | wall    | wall      |       |       |       |       |       |       |       |       |       |       |
10  |       |       |       |       |       |       |       |       |       |       |       | tile      | tile    | tile      | tile  | tile  | rock      | tile  | tile  | tile      | tile    | tile      |       |       |       |       |       |       |       |       |       |       |
11  |       |       |       |       |       |       |       |       |       |       |       | tile      |         | tile      | tile  | tile  | rock,baba | tile | tile  | tile      | flag    | tile      |       |       |       |       |       |       |       |       |       |       |
12  |       |       |       |       |       |       |       |       |       |       |       | tile      | tile    | tile      | tile  | tile  | rock      | tile  | tile  | tile      | tile    | tile      |       |       |       |       |       |       |       |       |       |       |
13  |       |       |       |       |       |       |       |       |       |       |       | wall      | wall    | wall      | wall  | wall  | wall      | wall  | wall  | wall      | wall    | wall      |       |       |       |       |       |       |       |       |       |       |
14  |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
15  |       |       |       |       |       |       |       |       |       |       |       | text_wall | text_is | text_stop |       |       |           |       |       | text_rock | text_is | text_push |       |       |       |       |       |       |       |       |       |       |
16  |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
17  |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
18  |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |       |           |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
18  |       |       |       |       |       |       |       |       |       |       |       |           |         |           |       |           |       |       |       |           |         |           |       |       |       |       |       |       |       |       |       |       |
