y/x |     1     |    2    |     3     |   4   |   5   |   6   |   7   |     8     |     9     |    10    |     11    |   12  |     13    |   14  |   15  |   16  |   17  |   18  |   19  |   20  |   21  |   22  |   23  |   24  |   25  |     26    |    27   |    28    |   29  |   30  |   31  |   32  |   33
----+-----------+---------+-----------+-------+-------+-------+-------+-----------+-----------+----------+-----------+-------+-----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-----------+---------+----------+-------+-------+-------+-------+------
1   | text_wall | text_is | text_stop | lava  | lava  |       | wall  |           |           |          |           |       | wall      |       |       |       | wall  |       |       |       | lava  | lava  | lava  | lava  | lava  | lava      | lava    |          |       |       |       |       |
2   | lava      | lava    | lava      | lava  |       |       | wall  |           |           |          |           |       |           |       |       |       | wall  |       |       | lava  | lava  | lava  | lava  | lava  | lava  | lava      |         |          |       |       |       |       |
3   | lava      | lava    |           |       |       |       | wall  |           |           |          |           |       | wall      |       |       |       | wall  |       |       | lava  | lava  | lava  | lava  | lava  | lava  |           |         |          |       |       |       |       |
4   | lava      |         |           |       |       |       | wall  | text_baba | text_is   | text_you |           |       | wall      | wall  | wall  | wall  | wall  |       | lava  | lava  | lava  | lava  | lava  | lava  | lava  |           |         |          |       |       |       |       |
5   |           |         |           |       |       |       | wall  | wall      |           |          |           | wall  | wall      |       |       |       |       |       | lava  | lava  | lava  | lava  | lava  | lava  |       |           |         |          |       |       |       |       |
6   |           |         |           |       |       |       | wall  |           |           |          |           |       |           |       |       | rock  |       |       | lava  | lava  | lava  | lava  | lava  | lava  |       |           |         |          |       |       |       |       |
7   |           |         |           |       |       |       | wall  | wall      | wall      | wall     | wall      | wall  | wall      |       |       |       |       | lava  | lava  | lava  | lava  | lava  | lava  | lava  |       |           |         |          |       |       |       |       |
8   |           |         |           |       |       |       | wall  | text_rock | wall      |          |           |       |           |       |       |       | baba  | lava  | lava  | lava  | lava  | lava  | lava  |       |       |           |         |          |       |       |       |       |
9   |           |         |           |       |       |       |       | text_is   |           |          |           |       |           |       |       |       |       | lava  | lava  | lava  | lava  | lava  | lava  |       |       |           |         |          |       |       |       |       |
10  |           |         |           |       |       |       |       | text_push |           |          |           |       |           |       |       |       | lava  | lava  | lava  | lava  | lava  | lava  | lava  |       |       |           |         |          |       |       |       |       |
11  |           |         |           |       |       |       |       |           |           |          |           |       | text_lava |       |       |       | lava  | lava  | lava  | lava  | lava  | lava  |       |       |       |           |         |          |       |       |       |       |
12  |           |         |           |       |       |       |       |           |           |          |           |       |           |       |       | lava  | lava  | lava  | lava  | lava  | lava  |       |       |       |       |           |         |          |       |       |       |       |
13  |           |         |           |       |       |       |       | wall      | text_baba | text_is  | text_melt | wall  |           |       |       | lava  | lava  | lava  | lava  | lava  | lava  |       |       |       |       |           | flag    |          |       |       |       |       |
14  |           |         |           |       |       |       |       | wall      | wall      | wall     | wall      | wall  |           |       | lava  | lava  | lava  | lava  | lava  | lava  |       |       |       |       |       |           |         |          |       |       |       |       |
15  |           |         |           |       |       |       |       | wall      | text_lava | text_is  | text_hot  | wall  |           |       | lava  | lava  | lava  | lava  | lava  |       |       |       |       |       |       | text_flag | text_is | text_win |       |       |       |       |
16  |           |         |           |       |       |       |       | wall      | wall      | wall     | wall      | wall  |           | lava  | lava  | lava  | lava  | lava  | lava  |       |       |       |       |       |       |           |         |          |       |       |       |       | lava
17  |           |         |           |       |       |       |       |           |           |          |           |       | lava      | lava  | lava  | lava  | lava  | lava  |       |       |       |       |       |       |       |           |         |          |       |       |       | lava  | lava
18  |           |         |           |       |       |       |       |           |           |          |           | lava  | lava      | lava  | lava  | lava  | lava  | lava  |       |       |       |       |       |       |       |           |         |          |       |       | lava  | lava  | lava
